year,president,party,billionaire,billionaires,cash,class,consumer,consumers,crash,crashes,debt,demand,downturn,economic,economics,economy,employment,exchange,finance,financial,gdp,goods,growth,inflation,job,jobs,loan,loans,market,markets,millionaire,millionaires,paycheck,paychecks,pension,pensions,pocketbook,poor,poverty,price,prices,recession,retire,retirement,rich,saving,stock,stocks,tax,taxes,trade,unemployed,unemployment,economy_total,speech_total,percent_economy
1814,Madison,Democratic-  Republican,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,11,2114,0.520340587
1815,Madison,Democratic-  Republican,0,0,1,1,0,0,0,0,9,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,21,3154,0.665821179
1816,Madison,Democratic-  Republican,0,0,0,2,0,0,0,0,5,2,0,0,0,1,0,1,2,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,23,3367,0.683100683
1817,Monroe,Democratic-  Republican,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,4,4,0,0,0,24,4427,0.542127852
1818,Monroe,Democratic-  Republican,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,4377,0.159926891
1819,Monroe,Democratic-  Republican,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,2,0,0,18,4711,0.382084483
1820,Monroe,Democratic-  Republican,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,3,0,1,0,4,0,0,21,3441,0.610287707
1821,Monroe,Democratic-  Republican,0,0,0,0,0,0,0,0,2,10,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,4,0,0,0,7,0,0,32,5823,0.549544908
1822,Monroe,Democratic-  Republican,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0,17,4734,0.359104351
1823,Monroe,Democratic-  Republican,0,0,0,1,0,0,0,0,5,1,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,19,6382,0.297712316
1824,Monroe,Democratic-  Republican,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,4,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,3,0,0,0,9,0,0,38,8418,0.451413637
1825,Adams,Democratic-  Republican,0,0,1,1,0,0,0,0,13,2,0,0,0,0,0,4,1,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,1,0,4,0,2,2,5,0,0,48,9003,0.533155615
1826,Adams,Democratic-  Republican,0,0,0,2,0,0,0,0,10,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,3,2,0,0,7,0,0,43,7748,0.554981931
1827,Adams,Democratic-  Republican,0,0,0,1,0,0,0,0,10,3,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,7,0,0,29,6987,0.415056534
1828,Adams,Democratic-  Republican,0,0,0,1,1,0,0,0,5,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,7,0,0,28,7313,0.382879803
1829,Jackson,Democratic,0,0,0,8,0,0,0,0,15,6,0,0,0,2,1,2,1,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,1,1,1,0,1,0,0,0,3,0,0,0,2,0,0,55,10523,0.522664639
1830,Jackson,Democratic,0,0,0,2,1,0,0,0,10,6,0,2,0,0,0,5,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,3,4,0,3,1,13,2,0,61,15072,0.404723992
1831,Jackson,Democratic,0,0,0,1,0,0,0,0,11,9,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,40,7189,0.55640562
1832,Jackson,Democratic,0,0,0,1,0,0,0,0,11,5,0,3,0,2,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,2,2,1,3,0,0,44,7875,0.558730159
1833,Jackson,Democratic,0,0,3,0,0,0,0,0,9,1,0,0,0,2,0,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,3,0,0,36,7901,0.455638527
1834,Jackson,Democratic,0,0,0,2,0,0,0,0,11,3,0,0,0,3,1,12,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,1,0,5,0,3,0,5,0,0,60,13446,0.446229362
1835,Jackson,Democratic,0,0,0,2,0,0,0,0,6,5,0,1,0,3,0,5,3,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,39,10809,0.360810436
1836,Jackson,Democratic,0,0,0,2,0,0,0,0,9,0,0,1,0,2,3,7,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,14,9,0,1,1,0,0,9,1,22,9,2,1,0,99,12355,0.801295022
1837,Buren,Democratic,0,0,2,4,0,0,0,0,4,11,0,2,0,2,2,1,1,1,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,2,0,27,12,0,0,0,0,0,3,0,3,1,2,0,0,86,11438,0.751879699
1838,Buren,Democratic,0,0,1,3,0,0,0,0,1,2,0,0,0,2,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,1,1,0,0,1,0,2,1,11,0,0,43,11478,0.374629726
1839,Buren,Democratic,0,0,1,2,0,0,0,0,28,8,0,1,0,4,1,8,1,1,0,1,0,0,0,0,4,4,3,0,0,0,0,0,17,3,0,0,0,2,1,0,0,0,1,0,3,1,2,1,21,0,0,119,13419,0.886802295
1840,Buren,Democratic,0,0,0,6,0,0,0,0,17,4,0,1,0,3,0,1,4,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,2,0,3,1,5,2,9,0,0,75,8979,0.835282325
1841,Tyler,"Whig   April 4, 1841  â€“  September 13, 1841",0,0,0,0,0,0,0,0,4,2,0,0,0,2,1,8,3,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,3,3,2,2,9,0,0,50,8240,0.606796117
1842,Tyler,"Whig   April 4, 1841  â€“  September 13, 1841",0,0,3,1,0,0,0,0,9,6,0,0,0,3,1,6,0,1,0,5,1,0,0,0,8,5,7,0,0,0,0,0,0,0,0,0,0,3,2,0,1,1,2,0,5,0,2,1,13,0,0,86,8401,1.023687656
1843,Tyler,"Whig   April 4, 1841  â€“  September 13, 1841",0,0,0,1,0,0,0,0,2,1,0,0,0,1,2,8,0,3,0,2,1,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,1,1,10,0,0,51,8026,0.635434837
1844,Tyler,"Whig   April 4, 1841  â€“  September 13, 1841",0,0,0,1,0,0,0,0,7,1,0,1,0,2,0,4,1,1,0,1,2,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,1,0,4,2,4,1,10,0,0,59,9309,0.633795252
1845,Polk,Democratic,0,0,2,7,0,0,0,0,9,9,0,2,0,1,4,0,1,0,0,1,5,0,0,0,5,2,5,0,0,0,0,0,1,1,0,2,0,13,1,0,0,0,1,0,4,1,14,1,8,0,0,100,16112,0.620655412
1846,Polk,Democratic,0,0,0,8,0,0,0,0,7,22,0,2,0,1,0,1,1,0,0,0,1,0,0,0,13,2,15,3,0,0,0,0,1,0,0,0,0,13,5,0,0,0,1,0,1,0,8,6,6,0,0,117,18221,0.64211624
1847,Polk,Democratic,0,0,0,3,0,0,0,0,17,16,0,0,0,0,1,3,1,2,0,2,2,1,0,0,16,3,7,2,0,0,0,0,0,0,0,0,0,11,2,0,2,0,0,0,0,0,2,0,4,0,0,97,16411,0.591066967
1848,Polk,Democratic,0,0,0,11,0,0,0,0,20,10,0,1,0,1,2,4,6,2,0,0,1,1,0,0,8,7,8,1,0,0,0,0,1,0,0,3,1,15,9,0,0,0,18,0,2,0,21,7,11,0,0,171,21290,0.803193988
1849,Taylor,Whig,0,0,2,0,0,0,0,0,0,2,0,0,0,1,2,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,2,0,0,19,7619,0.249376559
1850,Fillmore,Whig,0,0,0,1,2,0,0,0,4,4,0,0,0,0,3,2,1,0,0,1,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,4,0,2,0,0,35,8318,0.420774225
1851,Fillmore,Whig,0,0,3,9,0,0,0,0,8,8,0,0,0,3,1,1,1,0,0,2,2,0,0,0,0,0,4,1,0,0,0,0,1,1,0,0,0,7,3,0,0,0,0,0,8,0,1,0,3,0,0,67,13243,0.50592766
1852,Fillmore,Whig,0,0,1,2,1,0,0,0,5,0,0,0,0,1,1,1,0,0,0,5,3,0,0,0,0,0,6,1,0,0,0,0,1,1,0,0,0,4,0,0,1,0,0,0,2,0,0,0,1,0,0,37,9922,0.372908688
1853,Pierce,Democratic,0,0,0,3,0,0,0,0,3,9,0,2,0,1,0,0,1,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,1,3,0,4,0,0,39,9587,0.406800876
1854,Pierce,Democratic,0,0,0,4,0,0,0,0,5,8,0,2,0,1,0,2,2,2,0,2,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,1,0,0,39,10134,0.384843102
1855,Pierce,Democratic,0,0,0,1,0,0,0,0,5,5,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,0,0,0,0,23,11610,0.198105082
1856,Pierce,Democratic,0,0,0,4,0,0,0,0,5,5,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0,0,30,10473,0.286450874
1857,Buchanan,Democratic,0,0,0,1,0,0,0,0,7,5,0,2,0,4,1,6,1,3,0,1,3,0,0,0,10,8,4,1,0,0,0,0,7,4,0,0,0,5,3,0,1,0,3,0,6,1,2,0,3,0,0,92,13651,0.673943301
1858,Buchanan,Democratic,0,0,0,4,3,1,0,0,9,18,0,1,0,5,5,1,0,1,0,0,0,2,1,0,8,0,2,0,0,0,0,0,3,0,0,0,0,4,2,0,0,0,2,0,0,0,5,2,15,0,0,94,16347,0.575029057
1859,Buchanan,Democratic,0,0,0,0,0,0,0,0,7,8,0,0,0,3,1,6,0,1,0,0,0,0,1,0,4,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,18,0,0,55,12336,0.445849546
1860,Buchanan,Democratic,0,0,0,2,1,0,0,0,7,4,0,0,0,1,1,5,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,4,0,0,0,0,0,1,1,7,0,0,45,14025,0.320855615
1861,Lincoln,Republican   ( National Union )   [i],0,0,1,6,0,0,0,0,4,5,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,6,2,0,0,1,0,0,0,2,1,0,0,0,0,1,1,4,0,0,41,6976,0.587729358
1862,Lincoln,Republican   ( National Union )   [i],0,0,3,4,0,0,0,0,12,9,0,5,0,1,0,3,2,1,0,0,0,0,0,0,7,6,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,7,0,0,69,8392,0.82221163
1863,Lincoln,Republican   ( National Union )   [i],0,0,1,4,0,0,0,0,5,7,0,1,0,0,0,1,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,4,0,5,0,0,41,6111,0.670921289
1864,Lincoln,Republican   ( National Union )   [i],0,0,4,5,0,0,0,0,8,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,0,0,0,0,0,0,13,4,0,0,0,1,1,0,0,0,1,0,0,0,4,1,3,0,0,54,5989,0.901653031
1865,Johnson,National Union   [i]   ( Democratic )   [j],0,0,2,6,0,0,0,0,8,2,0,1,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,1,0,0,38,9218,0.412236928
1866,Johnson,Democratic,0,0,0,3,0,0,0,0,5,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,1,0,0,0,4,1,2,1,0,30,7127,0.420934475
1867,Johnson,Democratic,0,0,1,15,0,0,0,0,12,6,0,1,0,4,0,1,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,4,1,0,0,11,1,8,0,0,79,11981,0.659377347
1868,Johnson,Democratic,0,0,1,4,0,0,0,0,20,9,0,1,0,5,0,2,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,6,1,0,1,0,1,0,0,0,0,2,1,0,0,9,1,6,0,0,77,9817,0.784353672
1869,Grant,Republican,0,0,2,5,0,0,0,0,13,1,0,2,0,1,1,1,0,1,0,0,1,0,0,0,1,0,2,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,1,0,9,1,6,0,0,55,7702,0.714100234
1870,Grant,Republican,0,0,1,1,1,0,0,0,7,4,0,1,0,1,2,2,0,0,0,2,1,0,0,0,1,0,4,2,0,0,0,0,11,5,0,0,0,3,1,0,0,0,2,1,0,0,8,1,10,0,0,72,8736,0.824175824
1871,Grant,Republican,0,0,0,3,0,0,0,0,2,2,0,1,0,1,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1,1,0,0,25,6458,0.387116754
1872,Grant,Republican,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,3989,0.150413638
1873,Grant,Republican,0,0,2,8,2,2,0,0,4,8,0,1,0,3,1,4,0,4,0,0,2,4,0,0,2,1,4,1,0,0,0,0,11,2,0,0,0,4,3,0,0,0,0,3,1,0,0,0,7,1,0,85,10022,0.848134105
1874,Grant,Republican,0,0,0,6,1,0,0,0,15,4,0,0,0,1,5,7,0,1,0,2,2,0,0,0,0,0,3,1,0,0,0,0,4,2,0,0,0,1,1,0,0,0,0,0,0,0,5,0,4,1,0,66,9194,0.717859474
1875,Grant,Republican,0,0,1,4,6,5,0,0,4,12,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,4,2,0,0,0,0,12,4,0,0,0,1,1,0,0,0,1,0,1,0,9,2,4,0,0,79,12203,0.647381791
1876,Grant,Republican,0,0,0,3,0,0,0,0,4,2,0,1,0,3,1,1,0,1,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,2,1,2,0,0,31,6793,0.456352127
1877,Hayes,Republican,0,0,0,4,0,0,0,0,13,4,0,0,0,0,3,3,1,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,3,0,0,10,5,10,0,0,67,8017,0.835724086
1878,Hayes,Republican,0,0,1,0,0,0,0,0,5,6,0,1,0,1,3,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,30,7881,0.380662352
1879,Hayes,Republican,0,0,0,2,1,0,0,0,8,10,0,1,0,3,1,5,1,3,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2,2,0,0,0,2,0,0,1,1,0,1,0,0,3,0,8,0,0,60,11632,0.515818432
1880,Hayes,Republican,0,0,0,2,0,0,0,0,1,6,0,1,0,1,1,2,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0,0,35,6697,0.52262207
1881,Arthur,Republican,0,0,1,1,0,0,0,0,3,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,20,3822,0.523286238
1882,Arthur,Republican,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,18,3067,0.586892729
1883,Arthur,Republican,0,0,1,4,0,0,0,0,4,3,0,0,0,0,1,2,0,1,0,0,0,0,0,0,8,0,1,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2,0,1,0,5,0,7,0,0,46,3784,1.21564482
1884,Arthur,Republican,0,0,0,2,0,0,0,0,3,5,0,0,0,2,2,2,1,0,0,2,0,0,0,0,0,0,4,2,0,0,0,0,4,1,0,0,0,0,0,0,3,1,4,1,1,0,6,2,11,0,0,59,8947,0.659438918
1885,Cleveland,Democratic,0,0,0,9,2,1,0,0,8,7,0,3,0,3,3,2,1,3,0,0,1,0,0,0,0,0,2,2,0,0,0,0,5,2,0,2,0,6,1,0,0,0,2,6,4,3,5,0,8,1,0,92,19746,0.465917148
1886,Cleveland,Democratic,0,0,1,6,1,0,0,0,8,11,0,2,0,6,0,3,1,1,0,0,4,0,0,0,0,0,3,2,0,0,0,0,32,11,0,1,0,12,2,0,1,0,0,3,0,0,13,0,8,0,0,132,15135,0.872150644
1887,Cleveland,Democratic,0,0,1,2,7,4,0,0,3,7,0,2,0,0,2,0,1,8,0,5,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,28,6,0,1,0,0,1,0,0,21,1,8,1,0,115,5289,2.174324069
1888,Cleveland,Democratic,0,0,0,6,2,2,0,0,1,5,0,2,0,0,1,3,1,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,7,3,0,2,3,3,2,0,0,0,4,2,0,0,7,2,0,0,0,64,9020,0.709534368
1889,Harrison,Republican,0,0,0,13,0,0,0,0,0,4,0,1,0,1,4,0,0,1,0,0,1,0,0,0,1,0,5,1,0,0,0,0,5,0,0,0,1,3,0,0,0,0,1,1,0,0,6,1,5,0,0,55,13001,0.423044381
1890,Harrison,Republican,0,0,1,9,0,0,0,0,2,5,0,0,0,3,1,7,0,1,0,1,1,0,0,0,0,0,12,6,0,0,0,0,4,1,0,0,0,9,5,0,0,0,0,2,1,1,2,0,29,0,0,103,11522,0.893942024
1891,Harrison,Republican,0,0,1,8,0,0,0,0,5,6,0,1,0,1,2,5,2,3,0,0,2,0,0,0,0,0,14,3,0,0,0,0,9,4,0,0,0,15,8,0,0,0,0,4,6,0,6,1,12,0,0,118,16292,0.724281856
1892,Harrison,Republican,0,0,2,2,0,0,0,0,4,3,0,0,0,0,0,7,0,0,0,5,1,0,0,0,0,0,10,5,0,0,0,0,9,5,0,0,0,6,3,0,1,1,1,3,0,0,0,0,25,1,0,94,13678,0.687234976
1893,Cleveland,Democratic,0,0,0,5,0,0,0,0,0,10,0,1,1,6,1,2,0,5,0,1,0,0,0,0,0,0,4,1,0,0,0,0,23,7,0,0,0,3,1,0,1,0,0,0,2,0,9,3,4,0,0,90,12283,0.73272002
1894,Cleveland,Democratic,0,0,3,8,1,1,0,0,1,11,0,1,0,1,2,2,1,4,0,5,1,0,0,0,1,1,6,4,0,0,0,0,16,3,0,0,0,3,1,0,4,2,0,2,9,0,6,1,3,0,0,104,15892,0.654417317
