year,president,party,asylum,border,borders,canada,citizen,citizens,citizenship,cross,crossing,cuba,customs,deport,deportation,deportations,deported,detain,detained,documented,emigration,ethnic,foreign,foreigner,hispanic,illegal,immigrant,immigrants,immigrate,immigration,labor,laborers,latin,latino,mexican,mexico,migrant,migrants,minorities,minority,naturalization,naturalized,racial,racism,racist,refugee,refugees,separate,separated,undocumented,immigration_total,speech_total,percent_immigration
1816,Madison,Democratic-  Republican,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3367,0.623700624
1817,Monroe,Democratic-  Republican,1,2,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,28,4427,0.632482494
1818,Monroe,Democratic-  Republican,1,0,0,0,9,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,4377,0.616860864
1819,Monroe,Democratic-  Republican,0,2,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4711,0.551899809
1820,Monroe,Democratic-  Republican,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3441,0.435919791
1821,Monroe,Democratic-  Republican,0,0,0,0,7,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,5823,0.583891465
1822,Monroe,Democratic-  Republican,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4734,0.126742712
1823,Monroe,Democratic-  Republican,0,1,0,0,8,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6382,0.42306487
1824,Monroe,Democratic-  Republican,0,0,0,0,10,10,0,1,0,1,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,37,8418,0.439534331
1825,Adams,Democratic-  Republican,0,4,1,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,44,9003,0.48872598
1826,Adams,Democratic-  Republican,0,2,1,0,7,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,7748,0.400103252
1827,Adams,Democratic-  Republican,0,1,0,0,12,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38,6987,0.543867182
1828,Adams,Democratic-  Republican,0,2,1,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,7313,0.560645426
1829,Jackson,Democratic,0,2,2,0,20,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0,3,0,2,5,0,0,0,2,0,0,0,0,0,0,0,3,0,0,65,10523,0.617694574
1830,Jackson,Democratic,0,0,0,0,15,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,2,0,4,0,2,5,0,0,1,0,0,0,0,0,0,0,0,8,2,0,64,15072,0.42462845
1831,Jackson,Democratic,0,1,0,2,24,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1,0,2,0,0,0,0,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,70,7189,0.973709834
1832,Jackson,Democratic,0,0,0,0,20,17,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,57,7875,0.723809524
1833,Jackson,Democratic,0,1,1,0,15,14,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,44,7901,0.556891533
1834,Jackson,Democratic,0,1,0,0,26,24,0,0,0,1,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,3,1,0,73,13446,0.54291239
1835,Jackson,Democratic,0,0,0,0,11,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,8,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,57,10809,0.527338329
1836,Jackson,Democratic,0,0,0,1,10,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,9,0,2,7,1,1,0,0,0,0,0,0,0,0,0,1,1,0,54,12355,0.437070012
1837,Buren,Democratic,0,2,1,0,15,13,0,0,0,1,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,4,0,2,0,9,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,60,11438,0.524567232
1838,Buren,Democratic,0,4,0,4,28,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,83,11478,0.723122495
1839,Buren,Democratic,1,1,0,2,18,17,0,1,0,0,1,0,0,0,0,0,0,0,0,0,26,2,0,0,0,0,0,0,5,0,4,0,1,5,2,2,0,0,0,0,0,0,0,0,0,5,1,0,94,13419,0.700499292
1840,Buren,Democratic,0,2,1,0,14,14,0,0,0,0,3,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,3,0,1,0,0,4,0,0,0,2,0,0,0,0,0,0,0,2,0,0,53,8979,0.590266177
1841,Tyler,"Whig   April 4, 1841  â€“  September 13, 1841",0,2,1,5,13,10,0,0,0,0,0,0,0,0,0,4,2,0,0,0,10,0,0,0,0,0,0,0,3,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,59,8240,0.716019417
1842,Tyler,"Whig   April 4, 1841  â€“  September 13, 1841",0,1,0,0,14,12,0,0,0,0,2,0,0,0,0,1,0,0,0,0,6,1,0,1,0,0,0,0,3,0,4,0,4,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,57,8401,0.678490656
1843,Tyler,"Whig   April 4, 1841  â€“  September 13, 1841",0,4,1,0,11,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,3,0,2,0,2,20,1,1,0,0,0,0,0,0,0,0,0,1,1,0,63,8026,0.784948916
1844,Tyler,"Whig   April 4, 1841  â€“  September 13, 1841",1,0,0,0,9,8,0,0,0,0,1,0,0,0,0,0,0,0,2,0,12,1,0,0,0,0,0,0,3,0,3,0,2,26,4,2,0,0,0,0,0,0,0,0,0,2,0,0,76,9309,0.816414223
1845,Polk,Democratic,0,3,3,1,30,26,0,0,0,1,2,0,0,0,0,0,0,0,1,0,21,0,0,0,0,0,0,0,8,1,5,0,15,41,2,2,0,0,0,0,0,0,0,0,0,1,0,0,163,16112,1.011668322
1846,Polk,Democratic,0,0,0,0,43,40,0,1,0,2,2,0,0,0,0,0,0,0,1,0,27,0,0,0,0,0,0,0,6,0,4,0,62,158,1,1,0,0,2,0,0,0,0,0,0,2,1,0,353,18221,1.937325064
1847,Polk,Democratic,0,4,2,0,35,33,0,5,0,0,6,0,0,0,0,0,0,0,0,0,31,1,0,0,0,0,0,0,6,0,3,0,36,107,2,2,0,0,0,0,0,0,0,0,0,5,2,0,280,16411,1.706172689
1848,Polk,Democratic,0,5,4,0,16,12,0,2,0,0,5,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,11,1,1,0,2,54,3,3,1,2,0,0,0,0,0,0,0,4,0,0,147,21290,0.690465007
1849,Taylor,Whig,2,1,0,0,12,11,0,5,0,2,1,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,3,0,1,0,4,15,1,1,0,0,0,0,0,0,0,0,0,2,0,0,71,7619,0.931880824
1850,Fillmore,Whig,1,2,0,1,15,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,1,3,2,1,0,3,11,0,0,0,0,0,0,0,0,0,0,0,2,1,0,69,8318,0.829526328
1851,Fillmore,Whig,3,2,0,1,17,14,0,2,0,10,0,0,0,0,0,0,0,1,0,0,25,2,0,1,0,0,0,0,9,0,3,0,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,13243,0.868383297
1852,Fillmore,Whig,1,2,1,0,15,14,0,2,0,5,0,1,0,0,0,0,0,0,1,0,26,6,0,0,0,0,0,0,4,0,6,0,3,11,1,1,0,0,0,0,0,0,0,0,0,2,1,0,103,9922,1.038097158
1853,Pierce,Democratic,2,0,0,0,13,12,0,1,0,5,1,0,0,0,0,1,1,0,1,0,8,0,0,0,0,0,0,0,2,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,2,1,0,57,9587,0.594555127
1854,Pierce,Democratic,0,1,0,1,18,17,0,4,0,0,0,1,0,0,0,0,0,0,0,0,21,2,0,0,0,0,0,0,2,0,2,0,4,5,3,2,0,0,0,0,0,0,0,0,0,3,1,0,87,10134,0.858496152
1855,Pierce,Democratic,0,0,0,1,18,16,0,0,0,2,0,1,0,0,0,1,1,0,0,0,13,2,0,1,0,0,0,0,7,0,0,0,2,7,0,0,0,1,0,0,0,0,0,0,0,4,0,0,77,11610,0.663221361
1856,Pierce,Democratic,0,1,0,0,30,29,0,5,0,1,2,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,4,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,95,10473,0.907094433
1857,Buchanan,Democratic,0,0,0,0,15,13,0,4,0,1,1,0,0,0,0,2,0,0,2,0,12,0,0,0,0,0,0,0,2,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,62,13651,0.454179181
1858,Buchanan,Democratic,0,4,1,0,42,38,0,1,0,15,0,0,0,0,0,1,1,0,0,0,14,3,0,0,1,1,0,0,1,1,0,0,10,16,3,2,0,0,0,0,0,0,0,0,0,1,0,0,156,16347,0.954303542
1859,Buchanan,Democratic,0,1,1,0,31,25,0,4,0,4,2,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,3,0,0,0,4,27,1,1,0,0,0,0,0,0,0,0,0,1,0,0,115,12336,0.932230869
1860,Buchanan,Democratic,0,0,0,0,36,33,0,0,0,7,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2,0,3,0,3,12,1,0,0,0,0,3,0,0,0,0,0,1,0,0,117,14025,0.834224599
1861,Lincoln,Republican   ( National Union )   [i],0,0,0,0,10,10,0,2,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,1,31,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,6976,1.003440367
1862,Lincoln,Republican   ( National Union )   [i],0,1,1,0,8,8,0,3,1,0,1,4,3,0,1,0,0,0,2,0,16,1,0,0,0,0,0,0,21,5,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,84,8392,1.000953289
1863,Lincoln,Republican   ( National Union )   [i],0,1,1,0,16,15,0,1,0,1,1,0,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,1,6,1,0,0,0,4,1,1,0,0,2,3,0,0,0,0,0,1,0,0,75,6111,1.227295042
1864,Lincoln,Republican   ( National Union )   [i],1,3,0,2,4,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,1,2,0,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,37,5989,0.617799299
1865,Johnson,National Union   [i]   ( Democratic )   [j],0,1,0,0,12,10,0,1,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,12,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,2,0,0,54,9218,0.585810371
1866,Johnson,Democratic,0,0,0,2,11,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,1,0,0,0,0,0,0,1,0,1,0,0,10,0,0,0,0,2,1,0,0,0,0,0,0,0,0,53,7127,0.743650905
1867,Johnson,Democratic,0,0,0,0,12,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,4,1,6,0,0,1,1,1,0,0,2,2,0,0,0,0,0,2,0,0,49,11981,0.408980886
1868,Johnson,Democratic,3,0,0,0,13,12,1,1,0,2,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,1,7,0,2,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,66,9817,0.672303148
1869,Grant,Republican,0,1,1,1,15,9,1,0,0,8,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,8,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,56,7702,0.727083874
1870,Grant,Republican,0,5,2,8,16,14,0,1,0,7,0,0,0,0,0,0,0,0,0,0,15,3,0,1,0,0,0,0,11,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,92,8736,1.053113553
1871,Grant,Republican,0,0,0,0,17,17,0,0,0,5,1,0,0,0,0,0,0,0,0,0,7,0,0,0,2,2,0,1,6,2,3,0,0,2,2,2,0,0,1,0,0,1,0,0,0,1,1,0,73,6458,1.130380923
1872,Grant,Republican,0,2,0,0,11,11,0,0,0,5,2,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,4,0,3,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,50,3989,1.253446979
1873,Grant,Republican,0,0,0,1,20,18,1,1,0,9,0,0,0,0,0,0,0,0,0,0,10,1,0,3,0,0,0,1,5,0,5,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,80,10022,0.798243864
1874,Grant,Republican,0,0,0,0,28,23,6,0,0,1,0,0,0,0,0,0,0,0,0,0,14,1,0,2,1,1,0,0,16,1,1,0,1,4,1,1,0,0,8,2,0,0,0,0,0,1,0,0,113,9194,1.229062432
1875,Grant,Republican,0,0,0,0,29,27,5,0,0,11,3,0,0,0,0,0,0,0,2,0,14,2,0,0,0,0,0,0,2,1,5,0,3,5,1,0,0,0,7,7,0,0,0,0,0,4,1,0,129,12203,1.057117102
1876,Grant,Republican,0,0,0,0,22,19,3,0,0,6,0,0,0,0,0,0,0,0,1,0,17,2,0,0,1,1,0,0,12,0,2,0,2,6,4,3,0,0,6,3,0,0,0,0,0,1,0,0,111,6793,1.634035036
1877,Hayes,Republican,0,9,2,0,15,13,1,1,1,2,4,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,4,0,1,0,6,7,1,1,0,0,1,1,0,0,0,0,0,0,0,0,79,8017,0.985406012
1878,Hayes,Republican,0,3,1,0,18,14,1,1,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,7881,0.72325847
1879,Hayes,Republican,0,4,0,0,28,22,2,3,1,1,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,12,0,1,0,2,4,1,1,0,0,1,1,0,0,0,0,0,1,0,0,93,11632,0.799518569
1880,Hayes,Republican,0,2,0,0,19,15,3,3,1,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,1,1,0,2,5,0,2,0,1,4,1,1,0,0,1,2,0,0,0,0,0,0,0,0,76,6697,1.134836494
1881,Arthur,Republican,0,1,0,0,7,6,0,4,0,0,2,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,1,1,0,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,37,3822,0.96807954
1882,Arthur,Republican,0,2,2,0,8,7,0,3,1,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,0,2,3,2,1,0,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,48,3067,1.565047277
1883,Arthur,Republican,0,0,0,1,14,13,0,1,1,3,3,1,1,0,0,0,0,0,0,0,9,2,0,1,1,1,0,1,1,0,0,0,3,7,2,2,0,0,1,0,0,0,0,0,0,0,0,0,69,3784,1.82346723
1884,Arthur,Republican,0,1,1,0,17,16,3,2,0,3,2,0,0,0,0,0,0,0,0,0,19,2,0,0,1,1,0,1,5,0,2,0,2,2,1,1,0,0,6,1,0,0,0,0,0,1,0,0,90,8947,1.005923773
1885,Cleveland,Democratic,0,1,1,2,43,35,11,6,0,1,7,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,3,14,3,16,0,0,10,0,0,0,0,6,2,0,0,0,0,0,1,0,0,183,19746,0.926769979
1886,Cleveland,Democratic,0,0,0,1,42,30,9,3,1,1,7,0,0,0,0,0,0,0,1,0,16,2,0,1,0,0,0,0,21,0,12,0,8,12,0,0,0,0,2,4,0,0,0,0,0,0,0,0,173,15135,1.14304592
1887,Cleveland,Democratic,0,0,0,0,5,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,5289,0.567214974
1888,Cleveland,Democratic,0,2,1,3,31,24,8,0,0,0,2,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,1,7,1,7,0,1,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,105,9020,1.164079823
1889,Harrison,Republican,0,5,4,2,14,12,4,1,0,1,5,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,8,0,7,0,1,1,0,0,0,0,2,3,0,0,0,0,0,5,1,0,84,13001,0.646104146
1890,Harrison,Republican,0,0,0,0,13,10,1,1,0,1,7,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,1,7,0,3,4,0,0,0,1,3,0,0,0,0,0,0,1,0,0,69,11522,0.598854366
1891,Harrison,Republican,4,3,1,7,17,13,2,1,0,0,0,0,0,0,0,3,3,0,0,0,19,4,0,0,0,0,0,2,22,10,8,0,1,5,0,0,0,1,0,0,0,0,0,1,1,3,1,0,132,16292,0.810213602
1892,Harrison,Republican,0,2,0,12,15,14,3,2,0,2,4,0,0,0,0,0,0,0,0,0,19,0,0,0,1,1,0,2,7,0,8,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,97,13678,0.709168007
1893,Cleveland,Democratic,2,1,1,1,19,16,1,0,0,2,2,3,2,0,1,0,0,0,0,0,10,0,0,1,1,1,0,1,10,4,2,0,1,2,1,1,0,0,2,2,0,0,0,0,0,0,0,0,90,12283,0.73272002
1894,Cleveland,Democratic,2,1,0,1,16,12,2,1,0,1,5,0,0,0,0,1,0,0,1,0,17,2,0,0,0,0,0,0,9,0,14,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,1,0,92,15892,0.578907626
1895,Cleveland,Democratic,0,0,0,1,21,18,0,0,0,5,3,1,0,0,1,1,1,0,0,0,20,2,0,0,1,1,0,1,7,2,6,0,0,4,1,1,0,0,0,0,0,0,0,1,1,1,1,0,102,14671,0.695249131
1896,Cleveland,Democratic,0,0,0,0,16,14,4,1,0,18,2,0,0,0,0,0,0,2,0,0,10,0,0,0,5,5,0,3,6,0,6,0,1,0,5,5,0,0,0,1,0,0,0,2,2,1,1,1,111,15443,0.718772259
1897,McKinley,Republican,0,2,2,1,20,17,3,0,0,46,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,12110,0.900082576
1898,McKinley,Republican,1,3,0,2,12,11,1,11,0,51,4,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,0,0,8,0,5,0,5,7,1,1,0,0,0,1,0,0,0,0,0,3,1,0,136,20208,0.673000792
1899,McKinley,Republican,0,1,0,3,22,17,2,3,0,26,6,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,14,0,3,0,2,8,0,0,0,0,3,3,0,0,0,0,0,3,0,0,140,15133,0.925130509
1900,McKinley,Republican,0,1,1,0,13,12,2,0,0,14,6,0,0,0,0,0,0,0,0,0,46,9,0,0,0,0,0,0,10,0,7,0,1,4,0,0,0,0,0,1,0,0,0,0,0,3,1,0,131,19134,0.684645134
